epoch,step,intra_loss,inter_loss
1,100,30.89999042600393,24.91742071568966
1,200,15.711905326023698,12.632087506912649
1,300,10.548135096480449,8.468123969907563
1,400,7.96307897740975,6.382800101125613
2,100,0.17551625572144985,0.08794568521901965
2,200,0.17180016610771418,0.09123969748616219
2,300,0.17046818586687246,0.08989366034045815
2,400,0.16813071142882108,0.08785281502176076
3,100,0.15112753883004187,0.07286246865056455
3,200,0.15254883240908385,0.07047032395377756
3,300,0.1506323262055715,0.0689707555808127
3,400,0.14859167277812957,0.06510316728614271
4,100,0.14557997323572636,0.05065862471237779
4,200,0.13946623353287577,0.051590190674178305
4,300,0.13812086522579192,0.05186050665564835
4,400,0.13743054546415806,0.0514813680248335
5,100,0.1265217287838459,0.055358804613351825
5,200,0.1287722535710782,0.052166842371225354
5,300,0.12526947426920135,0.051302530200531084
5,400,0.1242580551141873,0.05339362127473578
6,100,0.11492058832198382,0.048106231912970546
6,200,0.1228917865268886,0.06018103956244886
6,300,0.12417220906664928,0.0607366151517878
6,400,0.12428705867379904,0.059536556219682096
7,100,0.11379562817513943,0.05800801188685
7,200,0.11538642010651529,0.05812930395361036
7,300,0.11401640389114619,0.05618831700334946
7,400,0.11167077862191946,0.05590955987339839
8,100,0.10346291404217482,0.05194736664183438
8,200,0.10163892573677004,0.050072411810979246
8,300,0.10014579823240638,0.05132576604373753
8,400,0.09903142631053924,0.05118480595294386
9,100,0.08215215172618627,0.04497586636804044
9,200,0.08044190193526447,0.0469167449651286
9,300,0.08144222258900603,0.046575623381262025
9,400,0.08385981191881,0.04630021008430049
10,100,0.07812829030677676,0.04473616329021752
10,200,0.07845187466591597,0.044477201602421704
10,300,0.07886515547831853,0.045611428776755926
10,400,0.07695212627295404,0.04492207961389795
11,100,0.06776653269305825,0.04140292352065444
11,200,0.06925497327465564,0.04154629947151989
11,300,0.06892260978929698,0.04098782599282762
11,400,0.06594996293308214,0.039773397245444354
12,100,0.05856010604649782,0.03805511806160212
12,200,0.05536310289055109,0.03609880041098222
12,300,0.05401158754403392,0.035167577258932096
12,400,0.05506273848470301,0.03518113859812729
13,100,0.05494939491152764,0.036132991816848516
13,200,0.049893815619871024,0.03194001834373921
13,300,0.04905361615121365,0.03278110412570338
13,400,0.049491684541571886,0.033164777965284886
14,100,0.04291971068829298,0.0326249835267663
14,200,0.041016077171079815,0.03293194039724767
14,300,0.04107698839468261,0.033047458296641706
14,400,0.0415914956945926,0.031741675424855204
15,100,0.03776950290426612,0.030659769419580696
15,200,0.0349561498966068,0.030548624941147864
15,300,0.036522507322952154,0.029685183577239514
15,400,0.035770805876236406,0.02862180083524436
16,100,0.026459720572456717,0.024096555449068545
16,200,0.02858713093213737,0.025463084378279745
16,300,0.02918228494003415,0.027654733213906487
16,400,0.029280535734724254,0.026613796900492162
17,100,0.027365652862936258,0.032992580169811846
17,200,0.02971731117926538,0.029839553092606365
17,300,0.028723767461876073,0.028359884697323045
17,400,0.028019661859143525,0.02691395971691236
18,100,0.02094857720658183,0.023106356160715224
18,200,0.02175302503630519,0.0241928203497082
18,300,0.02247512619321545,0.025295192965616782
18,400,0.02263460452435538,0.02622272799257189
19,100,0.020639723595231772,0.021674635289236903
19,200,0.02006564546842128,0.02234373868908733
19,300,0.02158167796830336,0.02208164253582557
19,400,0.021141628357581793,0.021569252964109182
20,100,0.01717535059899092,0.021671280674636365
20,200,0.02121538378763944,0.02158443592954427
20,300,0.020880005350336434,0.021778647657483816
20,400,0.020386483224574477,0.022142346063628793
21,100,0.016351818488910794,0.020800669053569434
21,200,0.01854226642753929,0.021684894752688706
21,300,0.017647778848186135,0.02249361957423389
21,400,0.01676038758130744,0.021935333982110023
22,100,0.01352215390652418,0.02243238428607583
22,200,0.014911963236518205,0.020391542371362446
22,300,0.015996709779525796,0.019754330478608608
22,400,0.01461284191114828,0.019773422866128387
23,100,0.01479604079388082,0.019771822160109878
23,200,0.01419945460744202,0.017878168001770972
23,300,0.01393474219366908,0.018771775541827084
23,400,0.014027621909044684,0.01935799152357504
24,100,0.015318048931658269,0.01784625366330147
24,200,0.014625039203092455,0.015572239784523845
24,300,0.014755125772207976,0.015866479637722173
24,400,0.013784564989618957,0.01563049928750843
25,100,0.012808326091617346,0.02115020097233355
25,200,0.012410091338679194,0.020070593375712632
25,300,0.01398650365571181,0.019710985670487086
25,400,0.01345190727384761,0.020050882089417427
